urb/no urb,State,County,Fips,Difference in Urban Land 2010-2060,Difference in Urban Tree Cover 2010-2060,Urban Tree Cover Change Index,Difference in Temperature Celsius 2010-2060,Temperature Change Index,Difference in Precipitation mm/year 2010-2060,Absolute Precipitation Change Index,Difference in Aridity 2010-2060,Aridity Change Index,Flood Risk Index,Difference in Sea Level Rise % inundation 2010-2060,Sea Level Rise Index,Wildfire Change Index,Hurricane Threat Index,Tornado Risk Index,Ice Storm Risk Index,Pest Index,CTI
0,Alabama,Autauga County,1001,9.425796513,0.120920839,-0.003462907,2.353748497,0.671231086,109.3922491,0.327080048,0.176965461,0.436817364,0.043422637,0,0,0.032650479,0.365843482,0.208333333,0.034482759,0.277777778,0.4955096
0,Alabama,Baldwin County,1003,16.10268446,-7.130276445,0.204195456,2.141512198,0.610706523,155.3133749,0.464383049,0.232556791,0.574037691,0.135842805,0.029577819,0.061199162,0.056574278,0.819202269,0.392857143,0.068965517,0.277777778,0.752710415
0,Alabama,Barbour County,1005,0.570903885,-10.01859107,0.286910442,2.343536086,0.668318758,154.9920791,0.463422383,0.191338593,0.472295664,0.102073032,0,0,0.01922342,0.480472857,0.178571429,0.034482759,0.277777778,0.614722542
0,Alabama,Bibb County,1007,1.621733009,-8.343396365,0.238936546,2.551731365,0.727690923,128.5289245,0.384298222,0.169134646,0.417487966,0.092710204,0,0,0.034326398,0.291348544,0.178571429,0.068965517,0.277777778,0.559819121
0,Alabama,Blount County,1009,0.37553628,-7.464629617,0.213770596,2.668973917,0.761125611,176.8456794,0.528764093,0.160592347,0.396402357,0.061068735,0,0,0.019084128,0.222543428,0.357142857,0.103448276,0.388888889,0.628616626
0,Alabama,Bullock County,1011,0.768173196,-5.841779653,0.167295738,2.343785043,0.668389755,147.2465305,0.440263389,0.190786258,0.470932293,0.135924787,0,0,0.035593572,0.468905821,0.071428571,0.034482759,0.277777778,0.571729026
0,Alabama,Butler County,1013,0.37622195,-8.472959317,0.242646944,2.431091694,0.693287461,137.3155739,0.410570081,0.18217136,0.449667483,0.008830933,0,0,0.01851996,0.512130176,0.130952381,0,0.222222222,0.555109062
0,Alabama,Calhoun County,1015,27.30689532,-3.819524119,0.109382781,2.493337616,0.711038465,183.6727491,0.549176858,0.164838821,0.406884253,0.127593357,0,0,0.044570663,0.237609406,0.279761905,0.068965517,0.388888889,0.602651733
0,Alabama,Chambers County,1017,10.60867574,-4.164792031,0.119270496,2.51351142,0.716791536,180.2260585,0.538871341,0.188505563,0.465302678,0.038953127,0,0,0.024558513,0.376193616,0.136904762,0.103448276,0.277777778,0.57720605
0,Alabama,Cherokee County,1019,3.902190376,-7.071122986,0.202501431,2.475606365,0.705981949,217.5380345,0.650433202,0.142343326,0.351356904,0.428990458,0,0,0.03788299,0.244932571,0.154761905,0.137931034,0.388888889,0.679472072
0,Alabama,Chilton County,1021,1.149973521,-3.687238015,0.105594398,2.519388853,0.718467636,130.9631082,0.391576369,0.188054209,0.464188568,0.161583433,0,0,0.029979092,0.33019303,0.18452381,0.034482759,0.222222222,0.545801296
1,Alabama,Choctaw County,1023,0.376039806,-999,,-999,,-999,,-999,,,-999,,,0.420848709,0.130952381,0.137931034,0.277777778,
0,Alabama,Clarke County,1025,0.37559107,-13.40101742,0.383775704,2.565530892,0.731626208,125.7944048,0.376122077,0.206841769,0.510563336,0.034784443,0,0,0.021062603,0.468130523,0.208333333,0.275862069,0.222222222,0.665074664
1,Alabama,Clay County,1027,0.374971969,-999,,-999,,-999,,-999,,,-999,,,0.255278225,0.148809524,0.034482759,0.333333333,
1,Alabama,Cleburne County,1029,0.375865636,-999,,-999,,-999,,-999,,,-999,,,0.216252792,0.142857143,0.137931034,0.388888889,
